,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
ACTL7B,0,0,0,0,0,0,0,0,0,0,0,1
ACTL7A,0,0,0,0,0,0,0,0,0,0,0,0
FAM206A,471,42,255,163,39,41,73,305,245,246,250,275
CTNNAL1,533,42,251,127,28,23,133,651,500,451,497,506
TMEM245,2898,281,1739,471,150,134,323,1733,1268,340,292,281
MIR32,0,0,0,0,0,0,0,0,0,0,0,0
FRRS1L,0,0,0,0,0,0,0,2,0,0,0,0
EPB41L4B,483,46,307,103,25,27,59,234,176,72,77,62
PTPN3,767,83,491,143,41,42,160,685,505,237,264,264
PALM2,3,0,1,1,0,0,0,12,9,5,4,2
PALM2-AKAP2,0,0,0,0,0,0,0,0,0,0,0,0
AKAP2,0,0,0,4,0,0,1,0,0,0,0,0
C9orf152,20,3,16,0,0,2,2,13,7,2,1,3
TXN,12939,1183,9000,1845,696,542,1859,8659,7856,750,862,696
TXNDC8,0,0,0,0,0,0,0,0,0,0,0,0
SVEP1,490,37,340,120,29,25,56,295,202,19,18,21
MUSK,0,0,0,0,0,0,0,1,0,0,0,1
LPAR1,611,66,403,197,70,67,97,457,392,138,132,136
OR2K2,0,0,0,0,0,0,0,0,0,0,0,0
ZNF483,9,0,4,2,1,1,1,13,9,7,6,6
PTGR1,8046,616,4642,1727,521,444,1618,6578,5799,1699,1736,1491
LRRC37A5P,0,0,0,0,0,0,0,0,0,0,0,0
DNAJC25,170,11,87,65,14,14,36,183,154,115,116,157
DNAJC25-GNG10,0,0,0,0,0,0,0,0,0,0,0,0
GNG10,5,1,4,0,0,0,0,8,8,0,0,0
C9orf84,5,1,0,3,0,0,0,3,1,1,3,0
UGCG,425,44,273,102,29,40,82,390,309,276,339,356
MIR4668,1,0,0,0,0,0,0,0,0,0,0,0
MIR3134,2,0,0,0,0,0,0,0,0,1,2,0
SUSD1,538,52,372,113,18,39,131,635,545,134,152,147
PTBP3,2752,322,1624,896,240,249,488,2276,1998,991,1143,1222
HSDL2,1572,161,935,294,87,93,212,1206,935,270,331,319
KIAA1958,65,6,41,13,6,3,8,56,41,14,23,18
INIP,175,30,106,53,26,20,21,120,93,82,75,85
SNX30,253,21,178,51,12,15,15,149,103,47,36,50
SLC46A2,0,0,0,0,0,0,0,4,0,0,1,0
ZNF883,0,0,0,0,0,0,3,6,1,0,0,1
ZFP37,43,8,41,55,15,17,9,49,48,44,47,68
FAM225B,0,0,0,0,0,0,0,0,0,0,0,0
FAM225A,0,0,0,0,0,0,1,1,0,0,0,0
SLC31A2,114,11,73,33,5,10,10,83,68,58,72,58
FKBP15,1061,96,693,194,66,57,133,571,436,235,274,215
SLC31A1,1295,114,759,155,58,61,126,884,633,103,126,130
CDC26,155,13,92,62,14,16,26,91,93,62,79,78
PRPF4,663,58,431,226,67,55,107,549,376,222,234,253
RNF183,0,0,0,0,0,0,0,2,1,0,1,0
WDR31,45,1,23,7,5,5,10,45,30,4,5,4
BSPRY,5,0,7,1,1,2,2,4,8,0,0,2
HDHD3,324,33,237,77,31,19,31,167,162,83,70,78
ALAD,378,22,287,81,13,14,69,321,246,45,35,42
POLE3,1546,154,1013,364,97,113,243,1205,890,369,425,450
C9orf43,14,2,22,0,0,1,0,8,10,2,0,2
RGS3,179,17,143,46,14,12,36,117,111,23,26,23
ZNF618,919,98,599,177,61,41,109,419,329,151,117,79
AMBP,881,77,585,98,24,27,29,168,164,7,9,12
KIF12,234,18,198,31,14,5,5,27,32,15,10,9
COL27A1,1361,103,780,377,79,105,82,383,297,160,166,167
MIR455,3,0,0,0,0,0,0,0,0,0,0,0
ORM1,1,0,0,0,0,0,0,1,1,0,0,0
ORM2,0,0,0,0,0,0,0,0,0,0,0,0
AKNA,72,8,55,20,6,1,11,48,33,29,20,15
ATP6V1G1,3095,306,2120,865,216,229,396,1902,1580,581,656,695
TNFSF15,252,22,140,69,16,21,45,164,149,14,9,14
TNFSF8,0,0,0,0,0,0,0,0,1,0,1,1
TNC,341,35,228,21,5,8,16,126,108,73,61,46
01-Dec,0,0,0,0,0,0,0,0,0,0,0,0
LINC00474,0,0,0,0,0,0,0,0,0,0,0,0
PAPPA,9340,811,6026,1805,567,456,936,4414,3694,1405,1261,1104
ASTN2,374,38,273,95,21,25,13,141,111,28,34,18
TRIM32,959,73,719,268,71,61,102,428,370,151,140,110
SNORA70C,0,0,0,0,0,0,0,0,0,0,0,0
TLR4,4,0,1,0,0,0,3,8,8,2,1,1
MIR147A,0,0,0,0,0,0,0,0,0,0,0,0
CDK5RAP2,750,76,451,121,40,40,90,390,279,86,118,103
MEGF9,1291,127,778,284,91,100,219,800,706,164,144,111
FBXW2,2208,193,1302,358,111,134,243,1111,943,224,251,208
PSMD5,1735,150,1083,296,87,88,166,674,492,146,142,115
PHF19,711,73,528,128,31,24,86,389,338,109,75,76
TRAF1,388,42,243,161,24,29,27,134,94,186,215,176
C5,2450,203,1440,824,256,261,527,2296,1872,209,174,151
CNTRL,169,14,124,34,6,4,26,149,115,53,50,51
RAB14,1763,199,1117,485,96,89,232,1094,968,397,457,474
GSN,2841,280,2043,294,90,62,224,1081,989,218,189,208
STOM,7725,758,4921,1425,440,351,936,4586,3885,630,620,613
GGTA1P,2,0,0,0,0,0,0,1,1,1,0,0
DAB2IP,373,51,219,108,25,18,44,184,109,91,124,116
TTLL11,89,6,54,15,8,4,14,46,30,20,17,10
MIR4478,0,0,0,0,0,0,0,0,0,0,0,0
NDUFA8,1195,110,840,203,76,58,132,613,486,75,119,95
MORN5,3,0,0,0,0,0,1,2,1,1,0,1
LHX6,5,2,5,6,0,0,0,10,10,2,5,3
RBM18,297,25,202,115,28,35,37,237,205,148,191,188
MRRF,1149,79,729,228,68,74,120,506,422,192,192,180
PTGS1,23,1,11,4,0,0,4,15,9,14,15,9
OR1J1,0,0,0,0,0,0,0,5,1,2,0,1
OR1J2,0,0,0,1,0,0,0,0,0,0,0,0
OR1J4,0,0,0,0,0,0,0,0,0,0,0,0
OR1N1,0,0,0,0,0,0,0,0,0,0,0,0
OR1N2,0,0,0,0,0,0,0,1,0,0,0,0
OR1L8,0,0,0,0,0,0,0,0,0,0,1,0
OR1Q1,1,0,0,0,0,0,0,0,0,0,0,0
OR1B1,0,0,0,0,0,0,0,0,0,1,0,0
OR1L1,0,0,0,0,0,0,0,0,0,0,0,0
OR1L3,0,0,0,0,0,0,0,0,0,0,0,0
OR1L4,0,0,0,0,0,0,0,0,0,0,0,0
OR1L6,0,0,0,0,0,0,0,0,0,0,0,0
OR5C1,0,0,0,0,0,0,0,0,0,1,0,0
OR1K1,0,0,0,0,0,0,0,0,0,0,0,0
PDCL,541,70,361,132,48,33,68,301,233,121,127,120
RC3H2,652,78,382,223,62,69,77,424,260,188,156,138
SNORD90,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB6,197,20,114,258,73,63,33,197,147,234,218,331
ZBTB26,210,9,68,53,19,15,18,107,60,42,49,60
RABGAP1,824,67,461,173,58,54,109,468,355,205,209,200
GPR21,0,0,0,0,0,0,1,1,0,0,0,0
MIR600HG,21,0,18,0,1,1,7,18,15,4,6,7
MIR600,0,0,0,0,0,0,0,0,0,0,0,0
STRBP,405,39,228,106,23,22,62,314,213,55,42,49
CRB2,9,0,11,1,0,0,1,3,2,2,2,3
DENND1A,722,66,538,163,35,36,67,422,352,121,148,130
MIR601,0,0,0,0,0,0,0,0,0,0,0,0
LHX2,35,3,20,5,12,6,10,43,28,21,15,32
NEK6,1916,195,1306,345,106,69,247,1289,1104,575,633,790
PSMB7,4561,409,3121,541,193,149,352,1466,1124,310,348,386
LOC100129034,1240,117,799,148,58,39,186,794,741,197,186,183
NR5A1,2,0,1,3,0,0,1,1,4,1,0,0
NR6A1,59,4,39,16,7,5,5,26,22,13,13,23
MIR181A2HG,10,1,3,7,5,0,2,9,4,4,10,2
MIR181A2,0,0,0,0,0,0,0,0,0,0,0,1
MIR181B2,0,0,0,0,0,0,0,0,0,0,0,0
OLFML2A,205,17,150,11,0,1,30,149,103,11,10,9
WDR38,2,0,1,0,1,0,1,2,1,0,0,0
RPL35,14193,1288,9712,2596,840,839,1466,6403,5318,1262,1464,1546
ARPC5L,904,74,563,250,76,72,101,536,446,172,175,172
GOLGA1,566,53,327,121,47,31,71,360,304,172,204,270
SCAI,60,4,36,25,5,3,12,52,38,29,43,44
PPP6C,923,87,598,433,87,94,128,597,458,371,391,411
RABEPK,373,47,308,83,25,10,50,236,186,39,30,33
HSPA5,16498,1386,10208,2508,724,753,2441,11846,8485,2667,2262,2209
GAPVD1,777,71,513,212,63,66,136,570,412,344,351,355
MAPKAP1,1997,167,1257,315,92,100,173,1013,755,166,172,160
PBX3,77,10,79,43,4,4,42,137,107,38,44,48
MVB12B,137,25,131,50,20,9,20,105,71,30,33,33
NRON,0,0,0,0,0,0,0,0,0,0,0,0
LMX1B,68,10,68,13,2,7,7,36,31,5,16,14
ZBTB43,591,45,396,624,160,160,58,344,259,1460,1477,1703
ZBTB34,377,48,263,270,66,73,45,270,181,213,211,231
RALGPS1,139,12,86,32,10,8,17,90,66,41,29,39
ANGPTL2,0,0,0,0,0,0,0,0,0,0,0,0
GARNL3,84,8,45,7,7,2,9,42,28,15,20,15
SLC2A8,234,25,175,52,16,12,14,111,91,16,12,5
ZNF79,357,26,196,310,72,65,28,182,104,291,332,244
RPL12,19177,1583,12392,3390,982,1047,2782,12461,10243,2539,3010,3257
SNORA65,5,0,6,2,3,0,0,3,6,10,9,9
LRSAM1,701,46,497,157,37,20,47,239,219,90,88,80
FAM129B,4988,491,3678,755,264,210,544,2801,2142,543,566,529
STXBP1,330,31,260,42,16,20,55,310,202,61,52,56
MIR3911,8,0,9,4,1,0,0,2,2,2,2,5
PTRH1,134,10,90,20,11,8,5,28,23,4,1,3
TTC16,1,0,0,2,0,0,0,1,1,0,3,1
TOR2A,257,31,198,50,12,12,33,119,91,33,29,41
SH2D3C,1,0,2,2,1,0,1,5,3,1,4,4
MIR3960,0,0,0,1,0,0,0,0,0,0,0,0
MIR2861,0,0,0,0,0,0,0,0,0,0,0,0
CDK9,1188,96,840,321,83,60,139,628,472,297,289,303
FPGS,733,72,594,184,48,42,101,390,376,115,120,119
ENG,1,0,1,1,0,0,5,13,6,10,0,3
AK1,997,82,756,127,42,40,73,402,292,68,79,61
MIR4672,0,0,0,1,0,0,0,0,0,0,0,0
ST6GALNAC6,405,28,286,99,24,29,45,205,173,56,71,72
ST6GALNAC4,350,38,291,83,18,16,30,116,91,24,20,18
PIP5KL1,69,9,49,14,7,1,1,19,12,1,7,4
DPM2,783,80,638,154,57,18,93,390,349,73,105,95
FAM102A,2656,286,1991,414,140,97,197,1050,834,265,254,237
NAIF1,102,12,72,48,9,12,9,53,45,51,35,53
SLC25A25,477,43,351,219,56,27,42,237,203,273,217,278
PTGES2,1248,132,950,216,67,36,105,387,332,40,42,38
LCN2,285,31,187,98,28,32,74,299,235,91,110,73
C9orf16,292,27,231,62,25,12,18,94,73,14,14,12
CIZ1,1741,181,1339,365,94,71,144,834,565,130,151,130
DNM1,3739,347,2690,526,176,130,333,1647,1396,259,250,188
MIR199B,0,0,0,0,0,0,0,0,0,0,0,0
MIR3154,0,0,0,0,0,0,0,0,0,0,0,0
GOLGA2,1916,178,1200,403,126,80,180,666,578,238,230,257
SWI5,333,12,223,60,16,14,57,232,167,11,12,17
TRUB2,1439,123,978,267,60,51,149,722,558,101,70,67
COQ4,619,60,522,141,33,31,50,307,240,41,53,44
SLC27A4,816,72,588,152,41,40,74,328,288,47,59,44
URM1,1517,185,1322,441,85,97,151,741,736,229,253,232
CERCAM,469,49,411,62,27,12,88,496,352,99,76,71
ODF2,380,24,176,46,16,13,69,308,210,63,53,54
GLE1,397,38,260,82,28,19,81,374,271,84,94,95
SPTAN1,8270,767,5361,1044,292,294,1039,5175,3858,1139,1191,1039
WDR34,1563,147,1217,233,91,65,150,833,632,76,91,81
SET,8286,709,4938,1878,514,511,1228,5476,4173,1603,1494,1420
PKN3,93,9,79,29,11,6,18,90,76,20,26,38
ZDHHC12,651,57,532,111,36,18,44,298,230,46,43,27
LOC100506100,144,12,118,19,15,7,24,88,75,10,16,13
ZER1,874,82,596,112,38,34,95,441,314,56,62,69
TBC1D13,649,68,474,121,31,20,65,345,259,72,57,56
ENDOG,212,32,248,42,17,17,1,15,8,1,1,0
LRRC8A,1813,177,1388,281,103,83,156,721,596,286,330,316
PHYHD1,3,0,0,0,0,0,0,2,0,1,2,2
DOLK,606,74,445,125,31,27,69,287,227,40,32,35
NUP188,1207,126,934,227,50,58,125,659,445,133,149,106
SH3GLB2,624,66,549,132,41,27,67,283,224,54,67,55
DOLPP1,469,46,300,110,38,22,67,257,217,57,68,66
CRAT,634,69,448,142,51,21,101,403,287,68,73,49
IER5L,2326,225,1880,1061,461,303,74,262,268,113,109,110
C9orf106,0,0,0,0,0,0,0,0,0,0,0,0
C9orf50,0,0,1,0,0,0,0,4,1,0,0,0
NTMT1,1150,88,775,204,53,55,71,259,253,55,50,53
ASB6,928,79,651,207,45,33,88,479,369,195,241,205
PRRX2,2,0,4,0,1,1,1,9,12,5,3,5
PTGES,681,70,447,99,27,19,44,280,260,65,68,62
TOR1B,530,37,337,130,32,26,120,612,436,198,199,170
TOR1A,1248,115,844,251,63,69,194,1026,806,150,177,135
C9orf78,934,78,519,149,46,44,123,550,423,96,105,116
USP20,151,16,100,34,13,8,26,70,63,28,18,28
FNBP1,311,41,208,79,21,25,45,215,149,70,75,57
GPR107,2681,193,1721,340,108,86,356,1789,1358,331,307,285
NCS1,790,67,557,104,28,48,114,745,538,98,130,132
ASS1,109,15,73,94,43,26,49,301,244,96,108,106
LOC100272217,25,4,18,25,4,3,5,24,23,33,37,42
FUBP3,2363,209,1456,443,106,114,222,967,848,285,324,309
PRDM12,9,3,7,0,2,1,0,3,0,1,2,0
EXOSC2,586,49,382,142,33,32,88,410,284,83,91,72
ABL1,1602,139,1142,449,122,121,237,1074,850,391,393,390
QRFP,0,0,0,0,0,0,0,1,1,0,1,0
FIBCD1,144,9,90,12,10,2,11,65,33,6,8,9
LAMC3,140,10,90,14,5,5,5,46,28,3,10,7
AIF1L,24,1,15,0,2,0,13,29,23,5,3,3
NUP214,763,75,531,182,49,41,112,581,415,176,207,180
FAM78A,11,2,9,2,0,0,0,5,3,4,2,1
PRRC2B,2939,248,1923,766,236,178,347,1704,1275,719,686,706
SNORD62B,0,0,0,0,0,0,0,0,0,0,0,0
SNORD62A,0,0,0,0,0,0,0,0,0,0,0,0
POMT1,406,32,269,71,25,20,50,220,172,54,46,40
UCK1,242,21,141,63,10,17,39,217,188,76,64,88
RAPGEF1,1226,108,823,294,81,57,154,664,474,263,288,343
MED27,327,33,233,81,24,24,49,208,182,105,132,147
NTNG2,12,1,5,35,7,18,2,3,5,21,27,29
SETX,1465,124,891,521,154,143,231,1202,838,1219,1139,1206
TTF1,282,22,153,70,27,18,49,214,174,156,123,145
BARHL1,0,0,0,0,0,0,0,1,1,0,0,0
DDX31,658,60,380,116,41,41,69,367,251,118,85,110
GTF3C4,828,63,512,317,74,65,107,470,363,351,311,341
AK8,24,4,23,9,2,0,3,25,7,5,6,2
TSC1,1158,104,831,436,115,95,114,551,420,429,470,468
GFI1B,0,0,0,0,0,0,0,0,0,0,0,0
GTF3C5,1040,75,746,144,52,31,129,544,454,103,92,86
CEL,30,7,21,5,2,0,0,13,10,1,2,3
CELP,0,0,0,0,0,0,0,1,0,0,0,0
RALGDS,717,70,511,260,87,52,78,401,316,203,268,268
GBGT1,13,2,12,0,5,0,3,8,9,3,3,5
OBP2B,0,0,0,0,0,0,0,0,0,0,0,0
ABO,0,0,0,0,0,0,0,0,0,0,0,0
SURF6,1210,92,813,304,98,91,117,509,399,174,205,236
MED22,380,38,293,130,36,21,30,165,127,62,80,54
RPL7A,32523,2628,20926,6487,1968,2035,3277,15614,13470,3223,3645,3571
SNORD24,10,0,8,1,0,1,1,0,1,1,0,0
SNORD36B,1,0,3,3,1,0,0,1,5,0,4,0
SNORD36A,82,8,46,36,8,10,7,36,39,19,26,12
SNORD36C,15,2,5,11,1,2,2,3,4,2,4,5
SURF1,946,81,624,161,55,43,101,500,422,91,77,74
SURF2,224,21,183,49,11,7,18,78,75,13,19,18
SURF4,4370,397,3040,773,243,198,687,3340,2761,587,619,556
REXO4,988,67,661,196,71,45,139,544,437,124,108,88
ADAMTS13,62,5,62,7,6,0,1,22,20,8,8,8
CACFD1,273,34,257,90,22,28,31,149,141,67,85,88
SLC2A6,1011,109,813,260,91,43,46,349,306,128,135,110
ADAMTSL2,0,0,0,0,0,0,1,0,0,0,0,0
FAM163B,0,0,0,0,0,0,0,0,0,0,0,0
DBH,0,0,0,0,0,0,0,0,1,0,1,0
SARDH,1,0,1,1,0,0,0,2,3,0,0,0
VAV2,721,58,506,147,42,35,111,549,412,147,150,133
BRD3,453,38,261,129,15,20,57,267,215,60,79,83
WDR5,701,76,431,132,37,50,88,457,339,112,118,109
RNU6ATAC,5,1,4,13,8,5,0,2,3,2,3,3
RXRA,858,78,579,112,47,31,77,387,388,70,63,53
MIR4669,0,0,0,0,0,0,0,0,0,1,0,0
COL5A1,472,30,303,72,23,16,220,1244,1007,524,597,615
MIR3689A,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689C,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689D1,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689B,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689D2,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689E,0,0,0,0,0,0,0,0,0,0,0,0
MIR3689F,0,0,0,0,0,0,0,0,0,0,0,0
FCN2,0,0,0,0,0,0,0,0,0,0,0,0
FCN1,0,0,0,0,0,0,0,7,0,6,0,0
OLFM1,84,8,53,11,1,2,10,84,64,17,16,17
LOC401557,0,0,0,0,0,0,0,0,0,0,0,0
C9orf62,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R26,355,28,222,98,24,24,53,224,168,94,91,96
C9orf116,27,0,18,12,1,1,3,21,26,1,16,12
MRPS2,1543,147,1183,341,80,96,132,733,583,132,163,186
LCN1,0,0,0,0,0,0,0,0,0,0,0,0
OBP2A,0,0,0,0,0,0,0,0,0,0,0,0
PAEP,2,0,0,0,0,0,0,2,0,1,2,3
GLT6D1,0,0,0,0,0,0,0,0,0,0,0,0
LCN9,0,0,0,0,0,0,0,0,0,0,0,0
SOHLH1,0,0,0,0,0,0,0,0,0,0,0,0
KCNT1,1,0,0,0,0,0,1,1,0,1,2,2
CAMSAP1,924,84,642,195,56,59,122,542,422,152,150,131
UBAC1,635,56,448,149,36,43,68,362,264,83,94,86
NACC2,3180,291,2078,475,140,145,255,1392,1107,180,206,183
LHX3,53,3,32,31,6,1,1,14,7,10,19,16
QSOX2,1044,99,726,226,59,53,114,636,484,145,148,150
DKFZP434A062,0,0,1,0,0,0,0,1,0,0,0,1
GPSM1,94,9,58,41,18,12,14,94,71,22,24,38
DNLZ,91,14,90,23,8,16,13,39,33,4,10,7
CARD9,54,5,33,58,9,9,1,18,10,15,13,23
SNAPC4,652,58,453,263,62,48,35,171,143,98,117,100
PMPCA,1514,127,1049,274,92,62,118,664,551,161,208,202
INPP5E,543,50,378,129,42,22,25,164,112,57,73,91
SEC16A,2062,191,1299,492,149,111,255,1238,934,355,402,396
C9orf163,19,5,33,20,6,8,1,17,15,9,10,12
NOTCH1,718,73,533,276,87,50,64,306,229,53,57,54
MIR4673,0,0,0,0,0,0,0,0,0,0,0,0
MIR4674,1,0,0,0,0,0,0,0,2,0,0,0
EGFL7,625,50,474,154,42,24,93,374,311,49,54,74
MIR126,0,0,0,0,0,0,0,0,0,0,0,0
AGPAT2,356,33,250,69,39,28,47,310,233,58,59,68
FAM69B,295,22,252,139,35,18,37,175,170,48,54,35
SNHG7,800,60,570,230,58,50,47,277,265,90,131,130
LCN10,0,0,0,0,0,0,0,1,0,0,0,0
LCN6,0,0,0,0,0,0,0,0,0,0,0,0
LOC100128593,0,1,0,0,0,0,0,0,0,0,0,0
LCN8,0,0,0,0,0,0,0,0,0,0,0,0
LCN15,4,0,1,0,0,0,1,2,4,0,0,0
TMEM141,482,42,334,76,26,17,277,1040,1098,127,112,143
RABL6,1818,153,1180,411,121,96,233,1125,881,180,214,202
MIR4292,8,0,3,2,1,0,0,1,2,1,1,0
PHPT1,3714,366,2862,616,181,140,362,1698,1428,187,238,190
MAMDC4,642,54,417,144,47,30,20,72,69,20,25,29
EDF1,4112,386,2842,767,282,223,462,1925,1675,379,429,362
TRAF2,1039,98,802,274,81,67,78,323,319,187,187,190
MIR4479,7,1,4,1,0,0,0,0,0,0,0,0
FBXW5,1875,181,1394,487,121,74,128,692,490,123,164,165
C8G,13,1,12,1,0,0,0,3,4,1,1,0
LCN12,35,4,36,4,1,2,1,9,19,1,3,0
PTGDS,0,0,0,0,0,0,1,0,5,1,0,0
LCNL1,0,0,0,0,0,0,0,0,0,0,0,0
CLIC3,8,1,7,0,0,0,0,3,3,0,1,1
ABCA2,949,95,672,165,46,34,122,631,481,102,123,109
C9orf139,0,0,0,1,0,0,0,1,1,0,0,0
FUT7,2,0,0,0,0,0,0,1,0,0,0,0
NPDC1,980,97,760,228,77,66,62,411,329,86,106,96
ENTPD2,6,0,2,1,0,1,1,11,8,7,3,3
SAPCD2,110,11,75,22,11,1,14,94,55,12,10,9
UAP1L1,635,56,431,382,95,74,39,223,253,315,355,366
MAN1B1,1587,121,1064,270,75,67,200,985,804,166,160,160
DPP7,1595,147,1221,358,122,80,112,674,475,65,97,97
GRIN1,2,0,1,3,1,3,0,8,8,4,2,2
LRRC26,3,2,8,2,0,0,0,1,2,0,0,0
MIR3621,0,0,0,0,0,0,0,0,0,0,0,0
ANAPC2,1046,103,754,230,72,52,68,400,314,93,100,86
SSNA1,908,96,698,236,59,29,95,443,366,68,70,82
TPRN,102,9,71,27,14,3,13,46,44,10,9,15
TMEM203,717,63,489,108,54,35,80,381,331,82,87,71
NDOR1,562,65,512,166,47,27,54,243,194,77,91,91
RNF208,13,0,5,5,0,0,1,3,5,3,1,1
RNF224,2,0,0,5,2,0,2,6,4,3,2,2
SLC34A3,5,0,1,5,1,1,1,8,4,1,1,1
TUBB4B,7491,760,5304,1040,304,215,772,3638,2655,583,570,521
FAM166A,1,2,1,2,0,0,1,6,1,4,1,3
NELFB,1083,110,977,211,65,53,109,649,527,103,95,107
TOR4A,741,72,536,186,61,26,83,425,316,129,138,127
NRARP,15,3,20,10,1,3,1,22,13,13,12,12
EXD3,80,6,63,17,2,3,4,19,11,9,8,5
NOXA1,151,20,135,42,14,7,7,31,27,11,16,14
ENTPD8,4,1,1,0,0,0,1,0,3,1,2,2
NSMF,795,73,514,153,59,55,64,316,282,81,104,120
PNPLA7,117,10,83,32,8,5,11,32,21,17,18,21
MRPL41,1331,150,1003,173,75,51,52,322,256,31,34,41
ZMYND19,347,35,254,75,19,26,53,245,186,39,28,42
ARRDC1,433,40,388,79,25,20,30,174,162,48,50,51
EHMT1,1334,124,832,296,69,80,147,693,459,164,167,188
MIR602,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1B,7,0,6,3,1,0,15,39,29,18,20,22
TUBBP5,1,0,0,0,0,0,0,3,3,0,0,3
FAM157B,0,0,0,0,0,0,0,0,0,0,0,0
FLJ43315,0,0,0,0,0,0,0,0,0,0,0,0
FAM230C,0,0,0,0,0,0,0,0,0,0,0,0
LOC100288966,0,0,0,0,0,0,0,0,0,0,0,0
LOC100233156,0,0,0,0,0,0,0,0,0,0,0,0
LOC389834,0,0,0,0,0,0,0,0,0,0,0,0
LOC283788,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507412,0,0,0,0,0,0,0,0,0,0,0,0
PLCXD1,404,44,265,92,23,21,175,799,622,248,276,314
GTPBP6,270,22,271,62,25,20,27,83,70,24,20,11
LINC00685,3,0,2,1,0,0,0,5,5,0,2,0
PPP2R3B,90,10,65,37,8,6,17,64,38,13,9,10
SHOX,0,0,0,0,0,0,0,0,0,0,0,0
CRLF2,10,2,1,0,0,0,1,15,8,5,4,0
CSF2RA,123,13,67,7,5,8,19,122,99,17,17,18
MIR3690,0,0,0,0,0,0,0,0,0,0,0,0
IL3RA,0,0,0,4,0,0,9,48,46,20,16,20
SLC25A6,4545,487,3629,850,279,180,326,1539,1153,236,311,287
ASMTL-AS1,114,8,66,24,3,3,9,18,22,12,10,18
ASMTL,163,18,127,38,6,7,53,271,174,51,55,45
P2RY8,0,0,0,2,0,0,0,2,0,2,0,1
AKAP17A,619,57,414,246,76,55,57,340,264,253,305,283
ASMT,2,0,0,0,0,0,0,0,0,0,0,0
DHRSX,404,37,280,79,18,23,77,348,275,91,71,71
ZBED1,875,71,538,160,37,28,123,596,496,158,166,163
CD99P1,34,0,21,14,3,4,9,35,33,33,26,29
LINC00102,0,0,0,0,0,0,0,0,0,1,0,0
CD99,1976,177,1367,278,95,84,363,1550,1407,408,448,377
XG,4,0,2,0,0,0,0,2,0,1,1,1
GYG2,123,8,69,14,5,3,29,98,84,22,14,14
ARSD,754,64,501,111,37,46,146,624,474,93,75,64
ARSE,1593,126,1069,259,79,78,184,928,773,109,114,77
ARSH,0,0,0,0,0,0,0,0,0,0,0,0
ARSF,0,0,0,0,0,0,0,0,0,0,0,0
MXRA5,0,0,0,0,0,0,0,0,0,1,0,0
PRKX,979,85,592,257,67,55,113,559,432,139,172,149
LOC389906,240,16,135,50,8,4,22,112,72,24,33,30
NLGN4X,0,0,1,0,0,0,0,0,1,0,0,0
MIR4770,0,0,0,0,0,0,0,0,0,0,0,0
VCX3A,0,0,0,0,0,0,0,0,1,0,0,0
MIR4767,2,0,5,0,0,1,0,1,0,0,0,0
STS,354,34,227,71,21,8,105,454,403,90,80,54
VCX,0,0,0,0,0,0,0,0,0,0,0,0
PNPLA4,58,9,50,8,3,2,38,155,159,23,17,22
MIR651,0,0,0,0,0,0,0,0,0,0,0,0
VCX2,0,0,0,0,0,0,0,0,0,0,0,0
VCX3B,0,0,0,0,0,0,0,0,0,0,0,1
FAM9A,0,0,0,0,0,0,0,0,0,0,0,0
FAM9B,4,2,0,1,0,0,0,0,0,0,0,0
TBL1X,511,52,347,106,16,30,83,416,342,85,87,83
GPR143,2,0,0,0,0,0,0,4,1,0,0,0
SHROOM2,27,2,24,7,2,1,1,27,19,10,20,10
WWC3,1854,170,1202,363,81,74,172,879,702,165,145,183
CLCN4,162,14,142,31,9,10,30,103,72,32,24,24
MID1,3941,409,2634,911,254,243,383,1662,1473,365,287,243
HCCS,1300,135,830,340,98,92,165,741,597,362,410,388
ARHGAP6,0,0,0,0,0,0,0,0,1,6,4,12
AMELX,0,0,0,0,0,0,0,0,0,4,0,4
MSL3,548,61,317,104,37,21,64,292,219,98,112,89
FRMPD4,0,0,3,0,0,0,0,0,1,0,0,2
PRPS2,456,39,306,132,32,31,121,595,440,74,112,133
TLR7,0,0,0,0,0,0,0,0,0,1,0,0
TLR8-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TLR8,0,0,0,0,0,0,0,3,0,1,0,0
TMSB4X,35623,3192,23747,5428,1916,1798,3815,17375,17469,3164,3323,2919
FAM9C,0,0,0,0,0,0,0,0,0,0,0,0
ATXN3L,0,0,0,0,0,0,0,0,0,0,0,0
